ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Clark, Gary CIN",36,36,28.5,20.1,133.2,80.9,0.621,0.571,52,20.4,12.1,22.2,15.7,14.80%,3.00%,5.00%,8.80%
"2 Jones, Jemerrio NMSU",34,33,28.4,22.4,106.5,82.9,0.516,0.509,21.4,13,14.4,36.3,23.8,20.70%,2.20%,2.20%,18.20%
"3 Wilkins, Isaiah UVA",34,34,27.5,13.7,115.6,84.1,0.532,0.494,26.3,9.9,9.8,18.8,13.3,10.60%,2.90%,7.10%,13.20%
"4 Jackson Jr., Jaren MSU",35,34,21.8,23.3,119,86,0.657,0.595,57.3,41.4,8.7,19.7,13.8,9.30%,1.60%,14.30%,17.60%
"5 Dickey, James UNCGRN",34,33,27.7,19.1,102,86.3,0.558,0.536,48.2,0,12.4,24.5,16.9,9.00%,1.70%,10.10%,23.00%
"6 Washington, Kyle CIN",36,34,23.3,24.4,110.4,87.3,0.564,0.535,23.5,17.1,8.3,18.1,12.1,3.60%,0.70%,7.00%,11.10%
"7 Miller, Isaiah UNCGRN",35,0,16.3,27.4,109.7,87.4,0.561,0.546,22.4,3.8,9.9,13.5,10.8,21.30%,5.10%,0.50%,15.00%
"8 Evans III, Jacob CIN",36,36,30.8,22.3,113.9,87.6,0.548,0.507,30.2,43,5.2,12,7.9,20.00%,2.60%,3.70%,12.90%
"9 Vernon, Keonta GRCNYN",34,34,23,20.9,108.3,87.7,0.536,0.517,45.9,1.7,10.7,20.7,14.5,12.70%,1.90%,5.20%,12.60%
"10 Watkins, Mike PSU",29,28,26.3,20.2,120.9,87.8,0.687,0.685,44.6,0.5,9,30.6,18.3,5.40%,2.20%,9.60%,16.10%
"11 Diakite, Mamadi UVA",34,0,15.6,19,111.4,88.7,0.615,0.577,31.5,0,7.6,16.3,11.1,2.00%,1.90%,4.10%,14.90%
"12 Stith, Brandan ODU",32,32,27.3,17.6,111.1,88.8,0.559,0.536,31.4,0.5,12.4,19.4,14.5,8.80%,2.40%,7.50%,16.10%
"13 Manyang, Akolda UVU",31,25,21.6,28.4,115.7,88.8,0.666,0.63,63.9,0,15.9,26.4,20,8.20%,1.00%,10.90%,19.50%
"14 Love, Loudon WRIGHT",35,35,27.8,25.7,101.6,89,0.546,0.533,41.8,0.3,12.6,28,18.8,9.10%,1.60%,4.10%,16.90%
"15 Bamba, Mohamed TEXAS",30,29,30.2,21.1,117.5,89,0.6,0.567,44.1,18.9,12.2,28.2,18.7,3.60%,1.50%,13.10%,12.50%
"16 McCants, Johnny NMSU",34,1,15.3,13.6,110.9,89,0.55,0.57,35.5,3.7,12,18.5,14.3,4.60%,1.40%,5.20%,15.10%
"17 Freeman, Deshawn RUTG",33,28,25.4,27.2,95.3,89.1,0.469,0.41,39,9.6,10,21.7,14.4,7.80%,3.70%,3.30%,13.90%
"18 Jerome, Ty UVA",34,34,30.8,21.6,108.9,89.5,0.541,0.513,13.3,48.4,1.4,11.3,5.9,25.50%,3.50%,0.10%,13.90%
"19 Thomas, Elijah CLEM",35,32,25,23.4,107.2,89.6,0.587,0.56,51.7,0,11.2,25.6,17.4,9.00%,1.50%,10.00%,18.50%
"20 Ward, Nick MSU",35,34,18.9,29.4,120.7,89.7,0.663,0.65,70.8,0.4,18.2,23.4,19.6,5.90%,1.00%,7.30%,15.00%
"21 Williams, Robert TXA&M",30,23,25.6,19,112.9,90.1,0.62,0.632,31.8,5.5,10.2,26.8,17.4,10.80%,1.80%,10.40%,17.20%
"22 Hunter, De'Andre UVA",33,0,19.9,25.4,117.2,90.1,0.592,0.538,46,25.8,7.6,14.9,10.4,11.80%,1.90%,2.70%,10.80%
"23 Frayer, Oscar GRCNYN",33,28,26.5,18.4,106.7,90.2,0.57,0.564,25.5,44.6,6.8,14.3,9.8,9.70%,2.70%,2.80%,14.70%
"24 Cumberland, Jarron CIN",36,36,28.9,21.9,109.6,90.4,0.534,0.499,34.1,52.5,5,10.4,7,18.90%,2.20%,1.50%,14.20%
"25 Salt, Jack UVA",34,34,19.8,10.1,115.3,90.5,0.61,0.642,42,0,9.7,16.4,12.1,2.50%,1.10%,4.40%,18.00%
"26 Cunningham, Christian JSU",33,28,23.5,15.9,112.1,90.6,0.642,0.661,43,0,12.6,21.5,15.8,3.70%,1.80%,9.00%,19.70%
"27 Jurkin, Peter ETNST",33,29,17.2,19.8,118.1,90.7,0.652,0.589,47.1,10.8,8.5,21.6,14.3,2.00%,1.50%,7.50%,15.60%
"28 Johnson, Nigel UVA",31,1,16.5,21.1,95.5,90.7,0.467,0.441,26.2,33.8,0.5,11.4,5.6,19.10%,3.00%,0.30%,12.90%
"29 Brown, Chad UCF",32,15,18.7,15.9,107,91.1,0.547,0.509,84.5,0,11.5,17.2,13.3,1.90%,1.70%,6.20%,14.70%
"30 Moneke, Chima UCD",21,21,30,32.6,108.5,91.1,0.59,0.533,59.2,9.2,9.1,29.8,18.4,8.70%,2.00%,4.40%,14.60%
"31 Rafferty, Matt FURMAN",33,33,26.3,18.3,135.2,91.3,0.651,0.624,36.2,15.9,9.8,21.3,14.5,19.40%,3.60%,2.70%,10.40%
