PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13
Alex Len,C,-,-,-,-,-,-
Allen Crabbe,SG,10.67,3.1,3.32,30.5,36,10
Andre Roberson,PF-SF,11.36,3.02,3.34,30,36.5,10
Archie Goodwin,SG,10.75,3.41,3.27,30,36,1
BJ Young,SG-PG,-,-,-,-,-,-
Ben McLemore,SG,11.87,3.11,3.27,32.5,42,6
Brandon Davies,PF,11.22,3.14,3.5,26,31.5,7
Brandon Paul,SG,11.16,2.9,3.37,33.5,39.5,15
CJ Leslie,PF-SF,10.19,2.79,3.1,32.5,40.5,-
CJ McCollum,PG-SG,11.02,2.91,3.32,32,38.5,13
Carrick Felix,SF-SG,11.16,3.09,3.25,32,38.5,15
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17
Colton Iverson,C,11.52,3.04,3.52,26.5,30,12
Dennis Schroder,PG,11.09,2.86,3.21,30,34,1
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32,5
Dewayne Dedmon,C,12.75,3.26,3.4,28,32.5,8
Erick Green,PG,-,-,-,-,-,5
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13
Glen Rice,SF-SG,10.99,3.08,3.25,33,40.5,10
Gorgui Dieng,C,-,-,-,-,-,-
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34,2
Isaiah Canaan,PG,10.98,2.89,3.22,33,40.5,16
Jackie Carmichael,PF,11.83,3.07,3.35,30,32,13
Jamaal Franklin,SG-SF,-,-,-,-,-,-
James Ennis,SF,11.55,3.06,3.4,29.5,36.5,7
James Southerland,SF-PF,10.9,3.03,3.38,29,32,5
Jeff Withey,C,12.49,3.29,3.47,26.5,29,10
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5
Kenny Kadji,PF-C,11.47,2.88,3.44,34,38,9
Kentavious Caldwell-Pope,SG,10.6,3.2,3.12,29,34.5,7
Lorenzo Brown,PG,11.78,3.24,3.4,28,34,8
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36,14
Michael Carter-Williams,PG,10.68,3.7,3.22,31.5,41,8
Mike Muscala,C-PF,11.76,2.99,3.44,28,33.5,5
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2
Nate Wolters,PG,-,-,-,-,-,8
Nerlens Noel,C,-,-,-,-,-,-
Norvel Pelle,PF-C,11.49,3.2,3.32,31,34.5,0
Otto Porter,SF,11.25,3.06,3.4,27,36,9
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15
Phil Pressey,PG,10.86,3.02,3.13,33,38.5,7
Pierre Jackson,PG,-,-,-,-,-,-
Ray McCallum,PG,10.82,3.08,3.25,30.5,40,5
Reggie Bullock,SG-SF,11.33,3.3,3.31,31,36.5,11
Richard Howell,PF,-,-,-,-,-,-
Ricky Ledo,SG,10.72,3.16,3.32,27,33.5,4
Robert Covington,SF-PF,11.69,3.1,3.34,29.5,36,9
Rudy Gobert,C,12.85,3.19,3.57,25,29,7
Ryan Kelly,PF,-,-,-,-,-,-
Seth Curry,SG,-,-,-,-,-,-
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37,10
Shane Larkin,PG,10.64,3.03,3.08,34.5,44,12
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14
Steven Adams,C,11.85,3.02,3.4,28.5,33,16
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38,13
Tony Snell,SF-SG,11.36,2.84,3.25,30,36.5,7
Trevor Mbakwe,PF,12.01,2.97,3.32,30,36.5,21
Trey Burke,PG,11.2,3.01,3.16,29.5,36.5,3
Vander Blue,SG,10.4,2.7,3.14,28,37.5,4
Victor Oladipo,SG,10.69,3.14,3.25,33,42,15
Will Clyburn,SF-SG,11.68,3.12,3.38,28,34.5,3
